Rotation [degrees], familiarity
0 deg, 5.221
3 deg, 5.44333
6 deg, 5.10367
9 deg, 5.27433
12 deg, 5.17967
15 deg, 5.17267
18 deg, 5.05267
21 deg, 5.52067
24 deg, 5.98967
27 deg, 5.889
30 deg, 5.62633
33 deg, 5.47867
36 deg, 5.817
39 deg, 6.12967
42 deg, 5.54867
45 deg, 5.76733
48 deg, 5.86033
51 deg, 6.20767
54 deg, 5.74033
57 deg, 5.437
60 deg, 5.64833
63 deg, 6.287
66 deg, 5.85233
69 deg, 5.798
72 deg, 6.095
75 deg, 5.97567
78 deg, 6.123
81 deg, 5.84067
84 deg, 5.94
87 deg, 5.981
90 deg, 6.40533
93 deg, 6.65967
96 deg, 6.612
99 deg, 6.626
102 deg, 6.31667
105 deg, 6.20133
108 deg, 6.06533
111 deg, 5.62833
114 deg, 5.56267
117 deg, 5.68333
120 deg, 5.73967
123 deg, 5.75367
126 deg, 5.68367
129 deg, 5.675
132 deg, 5.64767
135 deg, 5.48567
138 deg, 5.25967
141 deg, 5.303
144 deg, 5.03933
147 deg, 5.03933
150 deg, 4.778
153 deg, 4.60833
156 deg, 4.769
159 deg, 4.96067
162 deg, 5.387
165 deg, 5.78367
168 deg, 6.22167
171 deg, 6.619
174 deg, 7.087
177 deg, 7.48367
180 deg, 7.97767
-177 deg, 8.461
-174 deg, 8.715
-171 deg, 8.871
-168 deg, 8.885
-165 deg, 8.89967
-162 deg, 8.81467
-159 deg, 8.71533
-156 deg, 8.793
-153 deg, 8.97
-150 deg, 9.25367
-147 deg, 9.523
-144 deg, 9.63633
-141 deg, 9.628
-138 deg, 9.74133
-135 deg, 10.1033
-132 deg, 10.2597
-129 deg, 10.6843
-126 deg, 11.081
-123 deg, 11.3777
-120 deg, 11.7677
-117 deg, 12.1347
-114 deg, 12.2423
-111 deg, 12.234
-108 deg, 12.3137
-105 deg, 12.1013
-102 deg, 12.0307
-99 deg, 11.6827
-96 deg, 11.2293
-93 deg, 10.8887
-90 deg, 10.5067
-87 deg, 10.068
-84 deg, 10.0247
-81 deg, 9.71367
-78 deg, 9.544
-75 deg, 9.332
-72 deg, 9.14733
-69 deg, 9.01933
-66 deg, 8.75167
-63 deg, 8.63767
-60 deg, 8.53833
-57 deg, 8.34033
-54 deg, 8.14167
-51 deg, 8.01433
-48 deg, 7.86633
-45 deg, 7.72433
-42 deg, 7.72367
-39 deg, 7.68
-36 deg, 7.10233
-33 deg, 6.881
-30 deg, 6.33433
-27 deg, 5.87467
-24 deg, 5.34433
-21 deg, 5.11833
-18 deg, 5.28033
-15 deg, 5.35867
-12 deg, 5.464
-9 deg, 5.21933
-6 deg, 5.08233
-3 deg, 5.08033
