Rotation[pixels], Rotation [degrees], familiarity
0, 0 deg, 23428.5
1, 3 deg, 23686.8
2, 6 deg, 23707.9
3, 9 deg, 23686
4, 12 deg, 23388.8
5, 15 deg, 23448.8
6, 18 deg, 23450.7
7, 21 deg, 23325.4
8, 24 deg, 22913.2
9, 27 deg, 23182.5
10, 30 deg, 23250.6
11, 33 deg, 23001.8
12, 36 deg, 22830.4
13, 39 deg, 22888.3
14, 42 deg, 22886.4
15, 45 deg, 22539.4
16, 48 deg, 22254.9
17, 51 deg, 22604.3
18, 54 deg, 22434.2
19, 57 deg, 22171.7
20, 60 deg, 22497.1
21, 63 deg, 22604
22, 66 deg, 22374.3
23, 69 deg, 22757.2
24, 72 deg, 23053.7
25, 75 deg, 23587
26, 78 deg, 23682.2
27, 81 deg, 24173.4
28, 84 deg, 24725.9
29, 87 deg, 25356.7
30, 90 deg, 25446.5
31, 93 deg, 25648.8
32, 96 deg, 25824.8
33, 99 deg, 25943.2
34, 102 deg, 26251.3
35, 105 deg, 26425.4
36, 108 deg, 26345.6
37, 111 deg, 26118.1
38, 114 deg, 26551.1
39, 117 deg, 26726.1
40, 120 deg, 26571
41, 123 deg, 26867.4
42, 126 deg, 27120.5
43, 129 deg, 27554
44, 132 deg, 27324.1
45, 135 deg, 27253.6
46, 138 deg, 27415.8
47, 141 deg, 27288.3
48, 144 deg, 27518.7
49, 147 deg, 27489.3
50, 150 deg, 27613.5
51, 153 deg, 27932.1
52, 156 deg, 28051.3
53, 159 deg, 28062.3
54, 162 deg, 28046.8
55, 165 deg, 28165.4
56, 168 deg, 28040.1
57, 171 deg, 27905.4
58, 174 deg, 27921.2
59, 177 deg, 27708.1
60, 180 deg, 28295.3
61, -177 deg, 28297.4
62, -174 deg, 27724.5
63, -171 deg, 27963.5
64, -168 deg, 27649
65, -165 deg, 27750.3
66, -162 deg, 27782.9
67, -159 deg, 27873.8
68, -156 deg, 27834.2
69, -153 deg, 28037.4
70, -150 deg, 27803.6
71, -147 deg, 27064.7
72, -144 deg, 26622.5
73, -141 deg, 26675.6
74, -138 deg, 26126.2
75, -135 deg, 25653.2
76, -132 deg, 25409.3
77, -129 deg, 24686.6
78, -126 deg, 23951.8
79, -123 deg, 23683
80, -120 deg, 23573.5
81, -117 deg, 23408.9
82, -114 deg, 23233.8
83, -111 deg, 23352.3
84, -108 deg, 23424.2
85, -105 deg, 23038.5
86, -102 deg, 23098.6
87, -99 deg, 23500.5
88, -96 deg, 23119.8
89, -93 deg, 23150.3
90, -90 deg, 23163.7
91, -87 deg, 23209.7
92, -84 deg, 23145.8
93, -81 deg, 23121.3
94, -78 deg, 22909.1
95, -75 deg, 22766.5
96, -72 deg, 23020.2
97, -69 deg, 23031.4
98, -66 deg, 22946.8
99, -63 deg, 23361.7
100, -60 deg, 23005.2
101, -57 deg, 23183.4
102, -54 deg, 23317.2
103, -51 deg, 23150.5
104, -48 deg, 22706.3
105, -45 deg, 23048.3
106, -42 deg, 22878.8
107, -39 deg, 22783
108, -36 deg, 22563.2
109, -33 deg, 22667.6
110, -30 deg, 22835.9
111, -27 deg, 22580.1
112, -24 deg, 22396.7
113, -21 deg, 23214.6
114, -18 deg, 22833.6
115, -15 deg, 22925.6
116, -12 deg, 23137.4
117, -9 deg, 23116.6
118, -6 deg, 23006.2
119, -3 deg, 23146.5
