Rotation[pixels], Rotation [degrees], familiarity
0, 0 deg, 16.5163
1, 3 deg, 16.545
2, 6 deg, 16.6157
3, 9 deg, 16.6527
4, 12 deg, 16.5813
5, 15 deg, 16.5247
6, 18 deg, 16.454
7, 21 deg, 16.3973
8, 24 deg, 16.2987
9, 27 deg, 16.0917
10, 30 deg, 15.7943
11, 33 deg, 15.5383
12, 36 deg, 15.3683
13, 39 deg, 15.1417
14, 42 deg, 14.9437
15, 45 deg, 14.6757
16, 48 deg, 14.5197
17, 51 deg, 14.491
18, 54 deg, 14.321
19, 57 deg, 14.0797
20, 60 deg, 13.881
21, 63 deg, 13.5703
22, 66 deg, 13.273
23, 69 deg, 13.1393
24, 72 deg, 13.026
25, 75 deg, 12.7993
26, 78 deg, 12.714
27, 81 deg, 12.7287
28, 84 deg, 12.5447
29, 87 deg, 12.36
30, 90 deg, 11.8277
31, 93 deg, 11.5157
32, 96 deg, 11.2897
33, 99 deg, 11.1273
34, 102 deg, 10.7887
35, 105 deg, 10.5193
36, 108 deg, 10.3347
37, 111 deg, 10.171
38, 114 deg, 10.0997
39, 117 deg, 9.94433
40, 120 deg, 9.812
41, 123 deg, 9.64
42, 126 deg, 9.38533
43, 129 deg, 9.03133
44, 132 deg, 8.918
45, 135 deg, 8.87567
46, 138 deg, 8.87433
47, 141 deg, 8.70567
48, 144 deg, 8.57867
49, 147 deg, 8.44933
50, 150 deg, 8.22267
51, 153 deg, 7.91133
52, 156 deg, 7.61467
53, 159 deg, 7.30533
54, 162 deg, 6.96933
55, 165 deg, 6.447
56, 168 deg, 6.21967
57, 171 deg, 5.60467
58, 174 deg, 5.08633
59, 177 deg, 5.004
60, 180 deg, 5.19467
61, -177 deg, 4.96
62, -174 deg, 5.35567
63, -171 deg, 5.62667
64, -168 deg, 5.95133
65, -165 deg, 6.445
66, -162 deg, 6.85633
67, -159 deg, 7.06833
68, -156 deg, 7.59433
69, -153 deg, 7.75
70, -150 deg, 7.75
71, -147 deg, 7.69467
72, -144 deg, 7.87867
73, -141 deg, 7.94867
74, -138 deg, 8.09067
75, -135 deg, 8.14667
76, -132 deg, 8.27467
77, -129 deg, 8.396
78, -126 deg, 8.35267
79, -123 deg, 8.56533
80, -120 deg, 8.66333
81, -117 deg, 9.01033
82, -114 deg, 9.209
83, -111 deg, 9.607
84, -108 deg, 9.861
85, -105 deg, 10.1997
86, -102 deg, 10.2577
87, -99 deg, 10.7237
88, -96 deg, 11.2073
89, -93 deg, 11.35
90, -90 deg, 11.59
91, -87 deg, 11.7863
92, -84 deg, 12.0417
93, -81 deg, 12.0557
94, -78 deg, 12.169
95, -75 deg, 12.2407
96, -72 deg, 12.1847
97, -69 deg, 12.325
98, -66 deg, 12.44
99, -63 deg, 12.9477
100, -60 deg, 13.2597
101, -57 deg, 13.5423
102, -54 deg, 13.7977
103, -51 deg, 13.9963
104, -48 deg, 14.1523
105, -45 deg, 14.2797
106, -42 deg, 14.5497
107, -39 deg, 14.903
108, -36 deg, 15.2433
109, -33 deg, 15.2587
110, -30 deg, 15.414
111, -27 deg, 15.8107
112, -24 deg, 16.0513
113, -21 deg, 16.2623
114, -18 deg, 16.2837
115, -15 deg, 16.3317
116, -12 deg, 16.3883
117, -9 deg, 16.5017
118, -6 deg, 16.5443
119, -3 deg, 16.5163
