Rotation[pixels], Rotation [degrees], familiarity
0, 0 deg, 64.0557
1, 3 deg, 64.281
2, 6 deg, 64.3377
3, 9 deg, 64.5137
4, 12 deg, 64.605
5, 15 deg, 64.8637
6, 18 deg, 65.003
7, 21 deg, 65.0363
8, 24 deg, 65.005
9, 27 deg, 64.8037
10, 30 deg, 64.6877
11, 33 deg, 64.615
12, 36 deg, 64.4957
13, 39 deg, 64.5863
14, 42 deg, 64.409
15, 45 deg, 64.215
16, 48 deg, 63.9863
17, 51 deg, 63.6583
18, 54 deg, 63.485
19, 57 deg, 63.357
20, 60 deg, 62.9183
21, 63 deg, 62.719
22, 66 deg, 62.4863
23, 69 deg, 62.3557
24, 72 deg, 62.361
25, 75 deg, 62.3017
26, 78 deg, 62.3483
27, 81 deg, 62.233
28, 84 deg, 62.0057
29, 87 deg, 61.967
30, 90 deg, 61.593
31, 93 deg, 61.353
32, 96 deg, 61.2357
33, 99 deg, 60.9163
34, 102 deg, 60.585
35, 105 deg, 60.323
36, 108 deg, 60.2123
37, 111 deg, 60.045
38, 114 deg, 59.9377
39, 117 deg, 59.725
40, 120 deg, 59.4797
41, 123 deg, 59.3397
42, 126 deg, 59.1977
43, 129 deg, 59.105
44, 132 deg, 58.773
45, 135 deg, 58.4437
46, 138 deg, 58.2623
47, 141 deg, 57.8643
48, 144 deg, 57.623
49, 147 deg, 57.5283
50, 150 deg, 57.167
51, 153 deg, 56.7617
52, 156 deg, 56.3443
53, 159 deg, 55.7517
54, 162 deg, 55.0863
55, 165 deg, 54.4717
56, 168 deg, 53.5543
57, 171 deg, 52.3243
58, 174 deg, 51.3423
59, 177 deg, 51.1017
60, 180 deg, 50.7087
61, -177 deg, 50.1
62, -174 deg, 50.2793
63, -171 deg, 50.8207
64, -168 deg, 51.3113
65, -165 deg, 51.4583
66, -162 deg, 51.111
67, -159 deg, 50.6023
68, -156 deg, 50.085
69, -153 deg, 49.5797
70, -150 deg, 49.1323
71, -147 deg, 48.7043
72, -144 deg, 48.505
73, -141 deg, 48.2983
74, -138 deg, 47.977
75, -135 deg, 47.471
76, -132 deg, 46.9263
77, -129 deg, 46.4683
78, -126 deg, 46.293
79, -123 deg, 46.2063
80, -120 deg, 46.1553
81, -117 deg, 46.0903
82, -114 deg, 46.297
83, -111 deg, 46.3377
84, -108 deg, 46.4107
85, -105 deg, 46.481
86, -102 deg, 46.6763
87, -99 deg, 47.268
88, -96 deg, 47.552
89, -93 deg, 47.9927
90, -90 deg, 48.678
91, -87 deg, 49.2693
92, -84 deg, 49.9107
93, -81 deg, 50.6547
94, -78 deg, 51.4307
95, -75 deg, 51.997
96, -72 deg, 52.263
97, -69 deg, 52.5843
98, -66 deg, 53.0283
99, -63 deg, 53.6337
100, -60 deg, 54.201
101, -57 deg, 54.88
102, -54 deg, 55.4613
103, -51 deg, 56.2557
104, -48 deg, 56.8217
105, -45 deg, 57.405
106, -42 deg, 58.1043
107, -39 deg, 58.733
108, -36 deg, 59.2663
109, -33 deg, 59.8257
110, -30 deg, 60.339
111, -27 deg, 60.765
112, -24 deg, 61.3203
113, -21 deg, 61.813
114, -18 deg, 62.3083
115, -15 deg, 62.6677
116, -12 deg, 62.8903
117, -9 deg, 63.1357
118, -6 deg, 63.435
119, -3 deg, 63.6903
